name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,lat,long
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379,9698,18077,17918,26297,32.318231,-86.902298
Alabama Southern Community College,Alabama,AL,Public,2 Year,NA,4440,4440,8880,8880,32.318231,-86.902298
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,32.318231,-86.902298
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,32.318231,-86.902298
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,32.318231,-86.902298
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,32.318231,-86.902298
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,32.318231,-86.902298
Bevill State Community College,Alabama,AL,Public,2 Year,1300,4770,6070,8640,9940,32.318231,-86.902298
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000,32.318231,-86.902298
Bishop State Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Calhoun Community College,Alabama,AL,Public,2 Year,NA,4840,4840,8690,8690,32.318231,-86.902298
Central Alabama Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Chattahoochee Valley Community College,Alabama,AL,Public,2 Year,NA,4560,4560,8670,8670,32.318231,-86.902298
Coastal Alabama Community College,Alabama,AL,Public,2 Year,5800,4740,10540,8610,14410,32.318231,-86.902298
Columbia Southern University,Alabama,AL,For Profit,4 Year,NA,6785,6785,6785,6785,32.318231,-86.902298
Concordia College,Alabama,AL,Private,4 Year,5700,10120,15820,10120,15820,32.318231,-86.902298
Enterprise State Community College,Alabama,AL,Public,2 Year,NA,4500,4500,8130,8130,32.318231,-86.902298
Faulkner University,Alabama,AL,Private,4 Year,7750,21690,29440,21690,29440,32.318231,-86.902298
Gadsden State Community College,Alabama,AL,Public,2 Year,3600,4800,8400,8430,12030,32.318231,-86.902298
George C. Wallace Community College at Dothan,Alabama,AL,Public,2 Year,NA,4680,4680,8550,8550,32.318231,-86.902298
George C. Wallace State Community College at Selma,Alabama,AL,Public,2 Year,NA,4440,4440,4440,4440,32.318231,-86.902298
Heritage Christian University,Alabama,AL,Private,4 Year,5745,12312,18057,12312,18057,32.318231,-86.902298
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150,32.318231,-86.902298
Huntsville Bible College,Alabama,AL,Private,4 Year,NA,5390,5390,5390,5390,32.318231,-86.902298
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245,32.318231,-86.902298
Jefferson State Community College,Alabama,AL,Public,2 Year,NA,4800,4800,8370,8370,32.318231,-86.902298
Judson College,Alabama,AL,Private,4 Year,10590,18510,29100,18510,29100,32.318231,-86.902298
Lawson State Community College,Alabama,AL,Public,2 Year,4760,4760,9520,8660,13420,32.318231,-86.902298
Lurleen B. Wallace Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Marion Military Institute,Alabama,AL,Public,2 Year,4950,9418,14368,15418,20368,32.318231,-86.902298
Miles College,Alabama,AL,Private,4 Year,7042,11604,18646,11604,18646,32.318231,-86.902298
Northeast Alabama Community College,Alabama,AL,Public,2 Year,NA,4740,4740,8610,8610,32.318231,-86.902298
Northwest-Shoals Community College,Alabama,AL,Public,2 Year,NA,4695,4695,8565,8565,32.318231,-86.902298
Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032,32.318231,-86.902298
Samford University,Alabama,AL,Private,4 Year,10550,31650,42200,31650,42200,32.318231,-86.902298
Selma University,Alabama,AL,Private,4 Year,6400,7885,14285,7885,14285,32.318231,-86.902298
Shelton State Community College,Alabama,AL,Public,2 Year,NA,4467,4467,8337,8337,32.318231,-86.902298
Snead State Community College,Alabama,AL,Public,2 Year,3611,4800,8411,8670,12281,32.318231,-86.902298
Southern Union State Community College,Alabama,AL,Public,2 Year,NA,4440,4440,8310,8310,32.318231,-86.902298
Spring Hill College,Alabama,AL,Private,4 Year,13462,39464,52926,39464,52926,32.318231,-86.902298
Stillman College,Alabama,AL,Private,4 Year,7394,10938,18332,10938,18332,32.318231,-86.902298
Talladega College,Alabama,AL,Private,4 Year,6704,12510,19214,12510,19214,32.318231,-86.902298
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060,32.318231,-86.902298
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820,32.318231,-86.902298
United States Sports Academy,Alabama,AL,Private,4 Year,NA,12210,12210,12210,12210,32.318231,-86.902298
University of Alabama,Alabama,AL,Public,4 Year,10102,10780,20882,29230,39332,32.318231,-86.902298
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030,32.318231,-86.902298
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456,32.318231,-86.902298
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,32.318231,-86.902298
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,32.318231,-86.902298
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,32.318231,-86.902298
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,32.318231,-86.902298
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606,32.318231,-86.902298
Wallace State Community College at Hanceville,Alabama,AL,Public,2 Year,4600,4740,9340,8610,13210,32.318231,-86.902298
Alaska Bible College,Alaska,AK,Private,4 Year,5700,9300,15000,9300,15000,63.588753,-154.493062
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,63.588753,-154.493062
Ilisagvik College,Alaska,AK,Public,2 Year,13000,4300,17300,4300,17300,63.588753,-154.493062
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058,63.588753,-154.493062
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187,63.588753,-154.493062
University of Alaska Southeast,Alaska,AK,Public,4 Year,9200,7092,16292,19404,28604,63.588753,-154.493062
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250,958,7208,958,7208,34.048928,-111.093731
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,34.048928,-111.093731
Arizona State University,Arizona,AZ,Public,4 Year,12648,10822,23470,28336,40984,34.048928,-111.093731
Arizona Western College,Arizona,AZ,Public,2 Year,6700,2520,9220,9510,16210,34.048928,-111.093731
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928,21645,32573,21645,32573,34.048928,-111.093731
Central Arizona College,Arizona,AZ,Public,2 Year,7700,2580,10280,11100,18800,34.048928,-111.093731
Chandler-Gilbert Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Cochise College,Arizona,AZ,Public,2 Year,7272,2550,9822,7800,15072,34.048928,-111.093731
Coconino County Community College,Arizona,AZ,Public,2 Year,NA,3480,3480,11655,11655,34.048928,-111.093731
Dine College,Arizona,AZ,Public,2 Year,4610,1410,6020,1410,6020,34.048928,-111.093731
Eastern Arizona College,Arizona,AZ,Public,2 Year,6790,2700,9490,8700,15490,34.048928,-111.093731
Embry-Riddle Aeronautical University: Prescott Campus,Arizona,AZ,Private,4 Year,11394,35654,47048,35654,47048,34.048928,-111.093731
Estrella Mountain Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
GateWay Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Glendale Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9840,9840,34.048928,-111.093731
Grand Canyon University,Arizona,AZ,For Profit,4 Year,10100,27090,37190,27090,37190,34.048928,-111.093731
International Baptist College,Arizona,AZ,Private,4 Year,6200,11250,17450,11250,17450,34.048928,-111.093731
Mesa Community College,Arizona,AZ,Public,2 Year,NA,2565,2565,9795,9795,34.048928,-111.093731
Mohave Community College,Arizona,AZ,Public,2 Year,NA,2640,2640,8715,8715,34.048928,-111.093731
National Paralegal College,Arizona,AZ,For Profit,4 Year,NA,7995,7995,7995,7995,34.048928,-111.093731
Northern Arizona University,Arizona,AZ,Public,4 Year,10282,11564,21846,25828,36110,34.048928,-111.093731
Northland Pioneer College,Arizona,AZ,Public,2 Year,NA,2310,2310,10740,10740,34.048928,-111.093731
Paradise Valley Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Phoenix College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Pima Community College,Arizona,AZ,Public,2 Year,NA,2670,2670,9315,9315,34.048928,-111.093731
Prescott College,Arizona,AZ,Private,4 Year,7700,31485,39185,31485,39185,34.048928,-111.093731
Refrigeration School,Arizona,AZ,For Profit,2 Year,NA,21615,21615,21615,21615,34.048928,-111.093731
Rio Salado College,Arizona,AZ,Public,2 Year,7584,1898,9482,6222,13806,34.048928,-111.093731
Scottsdale Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,12330,12330,34.048928,-111.093731
Sessions College for Professional Design,Arizona,AZ,Private,2 Year,NA,8775,8775,8775,8775,34.048928,-111.093731
South Mountain Community College,Arizona,AZ,Public,2 Year,NA,2580,2580,9810,9810,34.048928,-111.093731
Tohono O'odham Community College,Arizona,AZ,Public,2 Year,7622,987,8609,987,8609,34.048928,-111.093731
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936,34.048928,-111.093731
Yavapai College,Arizona,AZ,Public,2 Year,9698,2610,12308,10980,20678,34.048928,-111.093731
Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826,8760,17586,8760,17586,35.20105,-91.831833
Arkansas Northeastern College,Arkansas,AR,Public,2 Year,NA,2450,2450,4250,4250,35.20105,-91.831833
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458,35.20105,-91.831833
Arkansas State University Mid-South,Arkansas,AR,Public,2 Year,NA,3274,3274,5014,5014,35.20105,-91.831833
Arkansas State University: Beebe,Arkansas,AR,Public,2 Year,5280,3600,8880,5760,11040,35.20105,-91.831833
Arkansas State University: Mountain Home,Arkansas,AR,Public,2 Year,NA,3570,3570,5580,5580,35.20105,-91.831833
Arkansas State University: Newport,Arkansas,AR,Public,2 Year,NA,3480,3480,5310,5310,35.20105,-91.831833
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,35.20105,-91.831833
Black River Technical College,Arkansas,AR,Public,2 Year,NA,3660,3660,6510,6510,35.20105,-91.831833
Bryan University: Rogers,Arkansas,AR,For Profit,2 Year,NA,10230,10230,10230,10230,35.20105,-91.831833
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700,35.20105,-91.831833
College of the Ouachitas,Arkansas,AR,Public,2 Year,NA,3680,3680,6530,6530,35.20105,-91.831833
Cossatot Community College of the University of Arkansas,Arkansas,AR,Public,2 Year,NA,3450,3450,4290,4290,35.20105,-91.831833
Crowley's Ridge College,Arkansas,AR,Private,2 Year,6350,13000,19350,13000,19350,35.20105,-91.831833
East Arkansas Community College,Arkansas,AR,Public,2 Year,NA,2880,2880,3720,3720,35.20105,-91.831833
Ecclesia College,Arkansas,AR,Private,4 Year,5810,15140,20950,15140,20950,35.20105,-91.831833
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179,35.20105,-91.831833
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590,35.20105,-91.831833
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074,35.20105,-91.831833
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152,35.20105,-91.831833
Lyon College,Arkansas,AR,Private,4 Year,9130,28790,37920,28790,37920,35.20105,-91.831833
National Park College,Arkansas,AR,Public,2 Year,NA,2700,2700,4110,4110,35.20105,-91.831833
North Arkansas College,Arkansas,AR,Public,2 Year,NA,2850,2850,5790,5790,35.20105,-91.831833
Northwest Arkansas Community College,Arkansas,AR,Public,2 Year,NA,3208,3208,4708,4708,35.20105,-91.831833
Ouachita Baptist University,Arkansas,AR,Private,4 Year,7880,26790,34670,26790,34670,35.20105,-91.831833
Ozarka College,Arkansas,AR,Public,2 Year,NA,3640,3640,6580,6580,35.20105,-91.831833
Philander Smith College,Arkansas,AR,Private,4 Year,8250,12414,20664,12414,20664,35.20105,-91.831833
Phillips Community College of the University of Arkansas,Arkansas,AR,Public,2 Year,NA,2910,2910,4740,4740,35.20105,-91.831833
South Arkansas Community College,Arkansas,AR,Public,2 Year,NA,3360,3360,6000,6000,35.20105,-91.831833
Southeast Arkansas College,Arkansas,AR,Public,2 Year,NA,3850,3850,6730,6730,35.20105,-91.831833
Southern Arkansas University,Arkansas,AR,Public,4 Year,6240,8676,14916,12786,19026,35.20105,-91.831833
Southern Arkansas University Tech,Arkansas,AR,Public,2 Year,2800,5250,8050,6690,9490,35.20105,-91.831833
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188,35.20105,-91.831833
University of Arkansas at Fort Smith,Arkansas,AR,Public,4 Year,8416,7128,15544,15969,24385,35.20105,-91.831833
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136,35.20105,-91.831833
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370,35.20105,-91.831833
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975,35.20105,-91.831833
University of Arkansas Community College Rich Mountain,Arkansas,AR,Public,2 Year,NA,3600,3600,4920,4920,35.20105,-91.831833
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,NA,8197,8197,15973,15973,35.20105,-91.831833
University of Arkansas Pulaski-Technical College,Arkansas,AR,Public,2 Year,NA,5362,5362,6557,6557,35.20105,-91.831833
University of Arkansas: Community College at Batesville,Arkansas,AR,Public,2 Year,NA,3150,3150,4140,4140,35.20105,-91.831833
University of Arkansas: Community College at Hope,Arkansas,AR,Public,2 Year,NA,2830,2830,4090,4090,35.20105,-91.831833
University of Arkansas: Community College at Morrilton,Arkansas,AR,Public,2 Year,NA,3920,3920,5090,5090,35.20105,-91.831833
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128,35.20105,-91.831833
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630,35.20105,-91.831833
Williams Baptist University,Arkansas,AR,Private,4 Year,8070,17320,25390,17320,25390,35.20105,-91.831833
Academy of Art University,California,CA,For Profit,4 Year,16648,27810,44458,27810,44458,36.778261,-119.417932
Allan Hancock College,California,CA,Public,2 Year,NA,1418,1418,7898,7898,36.778261,-119.417932
Alliant International University,California,CA,Private,4 Year,NA,18000,18000,18000,18000,36.778261,-119.417932
American Academy of Dramatic Arts: West,California,CA,Private,2 Year,13255,35160,48415,35160,48415,36.778261,-119.417932
American Jewish University,California,CA,Private,4 Year,17362,31826,49188,31826,49188,36.778261,-119.417932
American River College,California,CA,Public,2 Year,NA,1416,1416,9546,9546,36.778261,-119.417932
Antelope Valley College,California,CA,Public,2 Year,NA,1420,1420,9760,9760,36.778261,-119.417932
Antioch University Los Angeles,California,CA,Private,4 Year,NA,20670,20670,20670,20670,36.778261,-119.417932
Antioch University Santa Barbara,California,CA,Private,4 Year,NA,22575,22575,22575,22575,36.778261,-119.417932
Art Center College of Design,California,CA,Private,4 Year,NA,43416,43416,43416,43416,36.778261,-119.417932
Ashford University,California,CA,For Profit,4 Year,NA,12160,12160,12160,12160,36.778261,-119.417932
Azusa Pacific University,California,CA,Private,4 Year,10076,38880,48956,38880,48956,36.778261,-119.417932
Bakersfield College,California,CA,Public,2 Year,NA,1418,1418,7838,7838,36.778261,-119.417932
Barstow Community College,California,CA,Public,2 Year,NA,1391,1391,9131,9131,36.778261,-119.417932
Bergin University of Canine Studies,California,CA,Private,4 Year,NA,9450,9450,9450,9450,36.778261,-119.417932
Berkeley City College,California,CA,Public,2 Year,NA,1432,1432,9622,9622,36.778261,-119.417932
Bethesda University of California,California,CA,Private,4 Year,NA,8350,8350,8350,8350,36.778261,-119.417932
Beverly Hills Design Institute,California,CA,Private,4 Year,NA,31060,31060,31060,31060,36.778261,-119.417932
Biola University,California,CA,Private,4 Year,10730,40488,51218,40488,51218,36.778261,-119.417932
Brandman University,California,CA,Private,4 Year,NA,15380,15380,15380,15380,36.778261,-119.417932
Butte College,California,CA,Public,2 Year,NA,1498,1498,8518,8518,36.778261,-119.417932
Cabrillo College,California,CA,Public,2 Year,NA,1500,1500,9300,9300,36.778261,-119.417932
California Baptist University,California,CA,Private,4 Year,12160,33478,45638,33478,45638,36.778261,-119.417932
California Christian College,California,CA,Private,4 Year,4950,9570,14520,9570,14520,36.778261,-119.417932
California Coast University,California,CA,For Profit,4 Year,NA,4500,4500,4500,4500,36.778261,-119.417932
California College of the Arts,California,CA,Private,4 Year,10136,49138,59274,49138,59274,36.778261,-119.417932
California Institute of Integral Studies,California,CA,Private,4 Year,NA,20230,20230,20230,20230,36.778261,-119.417932
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,36.778261,-119.417932
California Institute of the Arts,California,CA,Private,4 Year,12069,49276,61345,49276,61345,36.778261,-119.417932
California Lutheran University,California,CA,Private,4 Year,13779,42693,56472,42693,56472,36.778261,-119.417932
California Maritime Academy,California,CA,Public,4 Year,12576,7135,19711,13273,25849,36.778261,-119.417932
California Miramar University,California,CA,Private,4 Year,NA,12180,12180,12180,12180,36.778261,-119.417932
California Northstate University College of Health Sciences,California,CA,Private,4 Year,NA,32500,32500,32500,32500,36.778261,-119.417932
California Polytechnic State University: San Luis Obispo,California,CA,Public,4 Year,13796,9816,23612,21696,35492,36.778261,-119.417932
California State Polytechnic University: Pomona,California,CA,Public,4 Year,17358,7353,24711,19233,36591,36.778261,-119.417932
California State University: Bakersfield,California,CA,Public,4 Year,13746,7147,20893,19027,32773,36.778261,-119.417932
California State University: Channel Islands,California,CA,Public,4 Year,16954,6817,23771,18697,35651,36.778261,-119.417932
California State University: Chico,California,CA,Public,4 Year,12980,7618,20598,17122,30102,36.778261,-119.417932
California State University: Dominguez Hills,California,CA,Public,4 Year,12540,6837,19377,18717,31257,36.778261,-119.417932
California State University: East Bay,California,CA,Public,4 Year,13980,6834,20814,18714,32694,36.778261,-119.417932
California State University: Fresno,California,CA,Public,4 Year,10587,6585,17172,18465,29052,36.778261,-119.417932
California State University: Fullerton,California,CA,Public,4 Year,15898,6870,22768,18750,34648,36.778261,-119.417932
California State University: Long Beach,California,CA,Public,4 Year,13312,6798,20110,18678,31990,36.778261,-119.417932
California State University: Los Angeles,California,CA,Public,4 Year,13407,6639,20046,18519,31926,36.778261,-119.417932
California State University: Monterey Bay,California,CA,Public,4 Year,12234,7143,19377,19023,31257,36.778261,-119.417932
California State University: Northridge,California,CA,Public,4 Year,11122,6888,18010,17622,28744,36.778261,-119.417932
California State University: Sacramento,California,CA,Public,4 Year,14396,7204,21600,19084,33480,36.778261,-119.417932
California State University: San Bernardino,California,CA,Public,4 Year,12711,6656,19367,13064,25775,36.778261,-119.417932
California State University: San Marcos,California,CA,Public,4 Year,13227,7648,20875,19166,32393,36.778261,-119.417932
California State University: Stanislaus,California,CA,Public,4 Year,10542,7076,17618,20290,30832,36.778261,-119.417932
California University of Management and Sciences,California,CA,Private,4 Year,NA,10410,10410,10410,10410,36.778261,-119.417932
Canada College,California,CA,Public,2 Year,NA,1440,1440,8670,8670,36.778261,-119.417932
Cerritos College,California,CA,Public,2 Year,NA,1438,1438,9688,9688,36.778261,-119.417932
Cerro Coso Community College,California,CA,Public,2 Year,NA,1382,1382,7802,7802,36.778261,-119.417932
Chabot College,California,CA,Public,2 Year,NA,1414,1414,9664,9664,36.778261,-119.417932
Chaffey College,California,CA,Public,2 Year,NA,1414,1414,9454,9454,36.778261,-119.417932
Chapman University,California,CA,Private,4 Year,15828,52724,68552,52724,68552,36.778261,-119.417932
Charles R Drew University of Medicine and Science,California,CA,Private,4 Year,NA,17440,17440,17440,17440,36.778261,-119.417932
Citrus College,California,CA,Public,2 Year,NA,1450,1450,9520,9520,36.778261,-119.417932
City College of San Francisco,California,CA,Public,2 Year,NA,1414,1414,8644,8644,36.778261,-119.417932
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110,36.778261,-119.417932
Coastline Community College,California,CA,Public,2 Year,NA,1400,1400,9530,9530,36.778261,-119.417932
Cogswell Polytechnical College,California,CA,For Profit,4 Year,11000,20056,31056,20056,31056,36.778261,-119.417932
Coleman University,California,CA,Private,4 Year,NA,20725,20725,20725,20725,36.778261,-119.417932
College of Alameda,California,CA,Public,2 Year,NA,1416,1416,9606,9606,36.778261,-119.417932
College of Marin,California,CA,Public,2 Year,NA,1418,1418,11018,11018,36.778261,-119.417932
College of San Mateo,California,CA,Public,2 Year,NA,1418,1418,8648,8648,36.778261,-119.417932
College of the Canyons,California,CA,Public,2 Year,NA,1154,1154,7034,7034,36.778261,-119.417932
College of the Desert,California,CA,Public,2 Year,NA,1420,1420,8890,8890,36.778261,-119.417932
College of the Redwoods,California,CA,Public,2 Year,8231,1418,9649,9188,17419,36.778261,-119.417932
College of the Sequoias,California,CA,Public,2 Year,NA,1450,1450,8560,8560,36.778261,-119.417932
College of the Siskiyous,California,CA,Public,2 Year,8000,1430,9430,9170,17170,36.778261,-119.417932
Columbia College,California,CA,Public,2 Year,NA,1418,1418,9158,9158,36.778261,-119.417932
Columbia College Hollywood,California,CA,Private,4 Year,NA,25140,25140,25140,25140,36.778261,-119.417932
Concordia University Irvine,California,CA,Private,4 Year,11300,35400,46700,35400,46700,36.778261,-119.417932
Contra Costa College,California,CA,Public,2 Year,NA,1392,1392,9162,9162,36.778261,-119.417932
Copper Mountain College,California,CA,Public,2 Year,NA,1388,1388,9120,9120,36.778261,-119.417932
Cosumnes River College,California,CA,Public,2 Year,NA,1416,1416,9546,9546,36.778261,-119.417932
Crafton Hills College,California,CA,Public,2 Year,NA,1425,1425,10125,10125,36.778261,-119.417932
Cuesta College,California,CA,Public,2 Year,NA,1418,1418,9158,9158,36.778261,-119.417932
Cuyamaca College,California,CA,Public,2 Year,NA,1428,1428,9168,9168,36.778261,-119.417932
Cypress College,California,CA,Public,2 Year,NA,1414,1414,9154,9154,36.778261,-119.417932
De Anza College,California,CA,Public,2 Year,NA,1515,1515,8940,8940,36.778261,-119.417932
Design Institute of San Diego,California,CA,For Profit,4 Year,NA,23860,23860,23860,23860,36.778261,-119.417932
Diablo Valley College,California,CA,Public,2 Year,NA,1390,1390,9160,9160,36.778261,-119.417932
Dominican University of California,California,CA,Private,4 Year,14810,45850,60660,45850,60660,36.778261,-119.417932
East Los Angeles College,California,CA,Public,2 Year,NA,1404,1404,8934,8934,36.778261,-119.417932
El Camino College,California,CA,Public,2 Year,NA,1419,1419,9519,9519,36.778261,-119.417932
Empire College,California,CA,For Profit,2 Year,NA,11070,11070,11070,11070,36.778261,-119.417932
Evergreen Valley College,California,CA,Public,2 Year,NA,1416,1416,8526,8526,36.778261,-119.417932
Feather River College,California,CA,Public,2 Year,5350,1461,6811,8511,13861,36.778261,-119.417932
Folsom Lake College,California,CA,Public,2 Year,NA,1450,1450,9580,9580,36.778261,-119.417932
Foothill College,California,CA,Public,2 Year,NA,1499,1499,9419,9419,36.778261,-119.417932
Fremont College,California,CA,For Profit,2 Year,NA,36400,36400,36400,36400,36.778261,-119.417932
Fresno City College,California,CA,Public,2 Year,NA,1420,1420,9160,9160,36.778261,-119.417932
Fresno Pacific University,California,CA,Private,4 Year,8676,31452,40128,31452,40128,36.778261,-119.417932
Fullerton College,California,CA,Public,2 Year,NA,1445,1445,9185,9185,36.778261,-119.417932
Gavilan College,California,CA,Public,2 Year,NA,1418,1418,8408,8408,36.778261,-119.417932
Glendale Community College,California,CA,Public,2 Year,NA,1451,1451,8381,8381,36.778261,-119.417932
Golden Gate University,California,CA,Private,4 Year,NA,15840,15840,15840,15840,36.778261,-119.417932
Golden West College,California,CA,Public,2 Year,NA,1452,1452,9552,9552,36.778261,-119.417932
Grossmont College,California,CA,Public,2 Year,NA,1418,1418,9158,9158,36.778261,-119.417932
Hartnell College,California,CA,Public,2 Year,NA,1400,1400,8870,8870,36.778261,-119.417932
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003,36.778261,-119.417932
Holy Names University,California,CA,Private,4 Year,13190,39316,52506,39316,52506,36.778261,-119.417932
Hope International University,California,CA,Private,4 Year,10490,33400,43890,33400,43890,36.778261,-119.417932
Horizon University,California,CA,Private,4 Year,NA,7700,7700,7700,7700,36.778261,-119.417932
Hult International Business School,California,CA,Private,4 Year,15000,40650,55650,40650,55650,36.778261,-119.417932
Humboldt State University,California,CA,Public,4 Year,12870,7676,20546,19556,32426,36.778261,-119.417932
Humphreys College,California,CA,Private,4 Year,NA,14292,14292,14292,14292,36.778261,-119.417932
Imperial Valley College,California,CA,Public,2 Year,NA,1420,1420,9010,9010,36.778261,-119.417932
Irvine Valley College,California,CA,Public,2 Year,NA,1418,1418,9608,9608,36.778261,-119.417932
John F. Kennedy University,California,CA,Private,4 Year,NA,18261,18261,18261,18261,36.778261,-119.417932
John Paul the Great Catholic University,California,CA,Private,4 Year,7650,26100,33750,26100,33750,36.778261,-119.417932
La Sierra University,California,CA,Private,4 Year,8415,32778,41193,32778,41193,36.778261,-119.417932
Laguna College of Art and Design,California,CA,Private,4 Year,10000,30700,40700,30700,40700,36.778261,-119.417932
Lake Tahoe Community College,California,CA,Public,2 Year,NA,1410,1410,9825,9825,36.778261,-119.417932
Laney College,California,CA,Public,2 Year,NA,1461,1461,9201,9201,36.778261,-119.417932
Las Positas College,California,CA,Public,2 Year,NA,1436,1436,9686,9686,36.778261,-119.417932
Lassen Community College,California,CA,Public,2 Year,30,1407,1437,9147,9177,36.778261,-119.417932
Life Pacific College,California,CA,Private,4 Year,8390,15804,24194,15804,24194,36.778261,-119.417932
Lincoln University,California,CA,Private,4 Year,NA,11040,11040,11040,11040,36.778261,-119.417932
Loma Linda University,California,CA,Private,4 Year,11655,35192,46847,35192,46847,36.778261,-119.417932
Long Beach City College,California,CA,Public,2 Year,NA,1418,1418,10628,10628,36.778261,-119.417932
Los Angeles City College,California,CA,Public,2 Year,NA,1402,1402,8932,8932,36.778261,-119.417932
Los Angeles County College of Nursing and Allied Health,California,CA,Public,2 Year,NA,4925,4925,4925,4925,36.778261,-119.417932
Los Angeles Harbor College,California,CA,Public,2 Year,NA,1404,1404,8934,8934,36.778261,-119.417932
Los Angeles Mission College,California,CA,Public,2 Year,NA,1404,1404,8934,8934,36.778261,-119.417932
Los Angeles Pierce College,California,CA,Public,2 Year,NA,1404,1404,8934,8934,36.778261,-119.417932
Los Angeles Southwest College,California,CA,Public,2 Year,NA,1418,1418,8948,8948,36.778261,-119.417932
Los Angeles Trade and Technical College,California,CA,Public,2 Year,NA,1418,1418,8948,8948,36.778261,-119.417932
Los Angeles Valley College,California,CA,Public,2 Year,NA,1404,1404,8934,8934,36.778261,-119.417932
Los Medanos College,California,CA,Public,2 Year,NA,1390,1390,9160,9160,36.778261,-119.417932
Loyola Marymount University,California,CA,Private,4 Year,14490,48522,63012,48522,63012,36.778261,-119.417932
Marymount California University,California,CA,Private,4 Year,14666,36134,50800,36134,50800,36.778261,-119.417932
Mendocino College,California,CA,Public,2 Year,NA,1420,1420,9160,9160,36.778261,-119.417932
